id_cliente,nome_artista,reputacao_artista,altura,largura,peso,material,preco_escultura,preco_base_envio,internacional,envio_expresso,instalacao_incluida,transporte,fragil,pedido_extra_cliente,localizacao_remota,data_agendada,data_entrega,custo
e9dff114-bc2b-47e9-9f5c-669e32ad9bbe,Billy Jenkins,0.26,5.1816,1.8288,1872.427776,Latão,73027.5,85.4175,Sim,Sim,Não,Aéreo,Não,Sim,Não,07/06/19,03/06/19,1487.2725
ba3b707f-b123-4eec-93f4-1fbebfe72b68,Jean Bryant,0.28,0.9144,0.9144,27.669112,Latão,35857.5,78.75,Não,Não,Não,Rodoviário,Não,Sim,Não,06/03/21,05/03/21,839.7900000000001
c4212086-3e22-489e-bc2e-0d5092ef0526,Laura Miller,0.07,2.4384,1.524,107.501304,Argila,26040.0,111.195,Não,Não,Não,Rodoviário,Sim,Sim,Sim,09/03/19,08/03/19,810.0224999999999
fec1bee9-44cf-498f-a849-5e5e2cab062b,Robert Chaires,0.12,2.7432000000000003,2.4384,1407.042384,Alumínio,30502.5,85.6275,Não,Não,Não,Não especificado,Não,Não,Sim,24/05/19,20/05/19,846.09
f9f2ed8c-7f56-4e69-a80e-cb01d0a711da,Rosalyn Krol,0.15,5.1816,1.8288,146.963808,Alumínio,16695.0,62.685,Sim,Sim,Sim,Aéreo,Não,Sim,Não,18/12/20,14/12/20,835.9575
4f77ce0e-6f48-463a-8ee2-3e8ed52e199d,Tracy Francis,0.99,14.0208,5.7912,534.331376,Madeira,32340.0,88.61999999999999,Não,Sim,Não,Não especificado,Não,Não,Não,28/08/19,26/08/19,10094.595
83221e08-cefd-4cf4-851b-97a44cfae73d,David Hawes,0.64,5.1816,2.7432000000000003,3294.892288,Latão,43365.0,476.0175,Não,Sim,Não,Rodoviário,Não,Sim,Não,05/06/20,02/06/20,8067.465
cb2f7427-2ab0-43a6-9791-165fe583f511,David Osher,0.74,7.010400000000001,3.048,1490.956904,Argila,67252.5,69.5625,Sim,Não,Não,Aquaviário,Sim,Não,Não,04/06/23,31/05/23,2217.705
d2b76aa0-dc16-435e-bc8f-f12c7c751b1f,Arnold Reel,0.0,1.8288,1.2192,48.987936,Argila,20895.0,103.74,Sim,Não,Não,Aquaviário,Sim,Sim,Sim,27/08/22,23/08/22,840.525
915d1616-39c8-4e1d-bc5a-fd58f86bc26e,Beverly Credeur,0.26,3.9624,1.8288,695.810128,Bronze,30817.5,108.78,Não,Sim,Não,Aéreo,Não,Sim,Não,26/10/21,28/10/21,997.92
